User_Id,content,created_at
425,Kakek buyutnya siapa yang bisa terbang?,48:06.0
425,Kecoa apa yang bisa masuk rumah sakit?,48:26.0
425,"Bensin dicampur apa, yang hanya 1 liter dapat dipake keliling pulau jawa ?",48:43.0
425,Bandara udara mana yang paling disukai pria playboy?,49:00.0
425,Apa yang didapatkan 2 orang pencuri yg mencuri kalender?,49:16.0
425,Kuda apa yg bikin girang ?,49:27.0
425,Lampu apa yang jika di pecahin keluar orang?,49:47.0
455,Nama pembuat film toy story?,50:11.0
455,Nama pembuat film Avengers?,51:06.0
455,Pantai ora berada didaerah?,54:31.0
425,Manusia bernafas dengan?,58:15.0
455,Pemain baru Persija Jakarta tahun 2020 siapa saja nama nama pemain baru tersebut?,06:41.0
455,Siapa saja nama nama pemain baru di team Persib Bandung tahun 2020 ini?,07:54.0
536,"Di atas putih-dibawah kuning, apaan?",08:29.0
455,Tempat yang diminati untuk berpacaran di daerah Jakarta timur dimana saja?,13:17.0
536,Abang siapa yg 3 kali puasa dan 3 kali lebaran tidak pernah pulang?,17:47.0
536,Kakek buyutnya siapa yang bisa terbang?,18:01.0
536,Kecoa apa yang bisa masuk rumah sakit?,18:17.0
536,"Bensin dicampur apa, yang hanya 1 liter dapat dipake keliling pulau jawa ?",18:34.0
536,Bandara udara mana yang paling disukai pria playboy?,19:06.0
536,Apa yang didapatkan 2 orang pencuri yg mencuri kalender?,19:25.0
536,Kuda apa yg bikin girang ?,21:34.0
536,Lampu apa yang jika di pecahin keluar orang?,22:43.0
536,Tivi apa yg bisa berenang?,23:02.0
536,Belut apa yg paling bahaya?,23:31.0
536,Kebo apa yg bikin kita lelah?,23:47.0
455,Negara yang paling indah menurut dunia ?,40:29.0
455,Kepulauan seribu didaerah mana?,49:05.0
455,Pemain termahal Persija Jakarta?,52:04.0
455,Harga sepatu Bambang Pamungkas?,53:08.0
455,Harga sarung tangan Andritany penjaga gawang Persija Jakarta,54:33.0
536,Kenapa hantu cewek pada umumnya pakai daster panjang?,11:33.0
481,Apa yang dimaksud dengan Culture Shock? Bagaimana cara menghadapi culture shock?,52:21.0
442,"Bagaimana pendapat kalian mengenai film ""aladdin (2019)""",01:36.0
442,"Apakah kalian menyukai lagu ""Rap God""? Mengapa",04:59.0
350,"Kenapa pria selalu menggunakan logika ketika bertindak sementara wanita menggunakan perasaan 
Apa ada alasan yang logis untuk menjelaskannya?",05:59.0
350,"Siapa ilmuan favorit kalian?
Alasannya?",07:40.0
350,"Kenapa anak muda zaman sekarang lebih suka dengan brand luar di bandinh brand lokal?
Apa penyebabnya ya?",08:20.0
350,Kenapa anak millenials lebih mudah mengalami depresi?,09:59.0
442,Olahraga apa saja yang tidak memerlukan banyak tenaga namun membakar banyak kalori?,13:49.0
350,"Budaya indonesia apa yang paling kalian sukai?
Berikan alasannya?",14:28.0
350,Mengapa terjadinya siang dan malam?,15:51.0
256,"Saat ini sedang maraknya berita tentang virus corona di berbagai negara, virus ini telah menewaskan banyak orang. Mungkinkah ada negara yang memanfaatkan virus ini menjadi senjata untuk keuntungan negara tersebut ? apabila ada, negara apa ? dan apa alasannya ?",17:45.0
350,Seni apa yang paling kalian sukai?,18:03.0
350,Hewan yang terancam punah yang kalian ketahui?,18:39.0
350,Menurut kalian profesi idaman/pekerjaan idaman itu yang seperti apa?,19:56.0
442,"Seberapa pentingkah ""table manner"" itu?",55:14.0
525,Apa yang dimaksud produksi masal?,07:20.0
525,Mengapa kita harus pup tiap hari?,08:23.0
525,Apakah kalian tau efek mengantuk ?,08:56.0
527,"Mengapa ""dance sport"" masuk kategori sport? Mengapa tidak masuk kategori seni pertunjukan?",21:51.0
529,Apa penyebab seseorang kurang percaya dengan dirinya? Bagaimana mengatasi permasalahan tersebut?,35:08.0
529,Bagaimana cara kita mengatasi bully di indonesia?,36:59.0
527,Bagaimana pola diet sehat yang pernah kalian lakukan? Bagaimana hasilnya?,39:16.0
529,Mengapa rakyat indonesia masih tergolong krisis ekonomi padahal indonesia kaya akan kekayaan alam?,41:44.0
529,Apa hal yang harus kita pertimbangkan dalam memilih jurusan pada saat akan kuliah?,51:42.0
529,Bagaimana cara kita meminimalisir sampah plastik?,52:36.0
455,Nama nama pemain baru di team Arema 2020?,11:04.0
481,Bagaimana peran Pemerintah di kota kalian dalam memberdayakan perempuan?,16:03.0
529,Apa saja hal hal yang dapat kita hindari agar tidak menimbulkan jerawat?,23:18.0
529,Apa yang seharusnya kita lakukan pertama kali jika kita mengalami kebakaran?,24:03.0
529,Bagaimana cara meminimalisir mata minus?,24:38.0
529,Apa saja hal hal yang dapat kita lakukan untuk  mengurangi polusi dan kemacetan,26:44.0
529,Mengapa cacing tanah mampu hidup walaupun berdiam diri di dalam tanah?,28:25.0
529,Mengapa kasus pencabulan di indonesia masih tergolong tinggi?,29:17.0
350,Apa dampak signifikan yang terjadi bila nyamuk punah di muka bumi?,33:56.0
350,Kalau boleh memilih kalian ingin punya pacar bule atau lokal?,35:07.0
350,Menurut kalian hukum apa yang cocok bagi para koruptor?,37:32.0
529,Apa yang harus dilakukan seseorang untuk menghilangkan gugup?,42:19.0
455,Nama Pencipta lagu secukupnya dan tahun brp diciptakan?,17:00.0
529,Apa saja yang harus dipertimbangkan dalam membeli hp?,26:55.0
529,Apa saja yang harus dipertimbangkan dalam membeli hp?,26:55.0
529,Apa saja yang harus dipertimbangkan dalam membeli hp?,27:10.0
380,Bagaimana penjelasn singkat terkait mazhab utilitarian?,46:02.0
380,Siapakah itu Jeremy Bentham dalam tokoh filsafat politik?,46:50.0
380,Bagaimana penjelasan terkait psikologi machiavelli?,54:01.0
380,Siapakah penulis buku yang berjudul Evolutionary Socialism dan apa yang melatarbelakangi penulisan buku tersebut?,58:23.0
455,Harga sepatu bola Ismed Sofyan pemain Persija Jakarta?,24:55.0
543,Bagaimana cara mengatasi teman yang lagi bad mood,15:32.0
543,Apa pendapat mu tentang gameboard di zaman sekarang,35:48.0
529,Bagaimana cara menghilangkan stress?,45:17.0
414,Jika kalian meninjau publicity crowd apakah anda pernah paranoid dengan keadaan sekitar ? Seperti halnya terkoneksi dengan keadaan yang terjadi ? Bagaimana cara untuk nggak paranoid berlebihan ?,00:19.0
408,"Saat ini, apakah berjualan online dapat disebut sebagai sesuatu yang amat menguntungkan?",16:09.0
380,"Bagaimana menurut kalian tentang ini, bila pencocokan teori ilmu alam dengan al-Quran disatu sisi menunjukkan mukjizat tapi disatu sisi itu bahaya, karena ilmu pengetahuan kan bisa berkembang dan teori bisa runtuh, ketika teori sudah dikaitkan dengan ayat al-Qur'an dan ketika teori itu runtuh maka akan berdampak juga pada pandangan terhadap al-Qur'an?",51:54.0
529,Apa yang seharusnya kita kerjakan saat liburan?,37:00.0
533,Apa makanan khas daerah kalian ?,41:34.0
533,Apa makanan khas daerah kalian ?,41:34.0
533,Apa makanan khas daerah kalian ?,41:34.0
455,Menurut kamu yang akan juara club mana ditahun 2020?,25:41.0
455,Tanggal brp milea suara dilan akan tanya dibioskop?,26:57.0
455,Didaerah Lombok tempat wisata yang paling indah menurut kalian?,34:31.0
455,Apakah pemain bola yang terbaik juga tergantung sepatu bola yang ia pakai?,45:45.0
376,Gimana cara dapetin giveaway ??,45:51.0
376,Gimana cara menanamkan ke diri sendiri kalau lebih baik menjadi baik daripada menjadi benar???,47:17.0
376,Kalian suka pakai e-money apa? Ovo? Gopay? Dana??? Dan keuntungannya apa?,52:29.0
376,"Coba sebutin, kenapa sih banyak orang yang ngga suka durian??? Kan enakk lohh . Mahal lagi",54:11.0
376,Dari kalian ada yang ngga suka avocado?? Kenapa ??,55:05.0
455,Daerah Jogja tempat wisata yang indah?,18:01.0
376,Menurut kalian ngadepin orang yang sifatnya dingin bangett gimana siiihh ?,00:10.0
541,Apa yang akan terjadi jika Indonesia tidak pernah dijajah,07:37.0
430,Bagaimana agar tidak terjerat dalam nostalgia?,08:10.0
541,"Ada sebuah keluarga yg beranggota 2 org ayah dan 2 org anak . Lalu keluarga ini berburu ke hutan mencari binatang kelinci. Ternyata mereka dapet hanya 3 kelinci.

Yang jadi pertanyaannya
Dapatkah keluarga tersebut memiliki masing2 kelinci per org???",23:33.0
541,Apa Penyebabnya kita terlena yang namanya kesemutan,26:19.0
541,Apa yang akan terjadi jika Indonesia tidak ada pengganguran,27:52.0
541,Apa yang kalian buka saat memegang hp,37:30.0
350,"Apa penyebab seseorang tidur ngorok?
apa ada kaitannya dengan kesehatan juga?",44:05.0
442,Film apa yang bercerita tentang zombi?,54:17.0
442,Apa saja yang dibutuhkan untuk bisa memulai bisnis?,56:07.0
481,Apa perbedaan separation of power dan division of Power?,46:14.0
481,Bagaimana cara menghindari kejahatan phising?,57:36.0
481,Apakah kesetaraan gender itu penting?,58:53.0
481,Mengapa kesetaraan gender itu penting?,59:23.0
481,Negara mana yang sangat membutuhkan kesetaraan gender?,01:32.0
481,Bagaimana kualitas pendidikan di Indonesia?,06:07.0
481,Apa makanan khas di daerah kalian yang paling kalian sukai?,08:39.0
481,Bagaimana Manajemen Sumber Daya Manusia di Indonesia?,10:38.0
481,Bagaimana cara menulis artikel menarik?,12:21.0
481,Bagaimana cara menulis artikel menarik?,14:07.0
481,Bagaimana cara menulis artikel menarik?,14:13.0
481,Bagaimana cara menulis artikel menarik?,14:28.0
483,Apa yang membuat Surabaya menjadi panas ?,39:33.0
555,Mengapa pendidikan di Indonesia masih tergolong tidak maju di banding negara-negara berkembang lainnya,17:54.0
541,Apa Dota2 akan berjaya lagi jika muncul di versi mobile,37:12.0
529,Apa peran indonesia dalam organisasi asean?,43:54.0
541,Siapa orang terkaya di dunia sebelum bill gates,03:38.0
541,Bagaimana mengatasi depresi,04:35.0
541,Apa yang terjadi jika bumi berhenti 1detik,05:49.0
541,Apa aja yang kalian lakukan setelah mendapatkan E-money,09:45.0
481,Bagaimana cara meredakan sakit tenggorokan?,37:18.0
455,Film Naruto dibuat pada tahun?,04:20.0
481,Bagaimana cara menjadi orang yang peka?,16:03.0
527,"Menurut anda, apakah kepercayaan nenek moyang, seperti kejawen dsb perlu dilestarikan?",24:03.0
529,Bagaimana cara mengatasi banyaknya pengangguran dan menciptakan lapangan pekerjaan?,36:19.0
529,Bagaimana cara memilih pekerjaan? Berdasarkan prospek kerja atau peluang kerja?,02:11.0
529,Bagaimana caranya menghilangkan ketergantungan terhadap hp?,05:46.0
529,Bagaimana cara memanajemen waktu agar tidak keteteran?,15:17.0
533,Apa pendapat kalian tentang sarjana yg menganggur?,16:51.0
529,Bagaimana cara diet sehat tanpa olahraga?,19:43.0
529,Bagaimana caranya mencerahkan wajah dengan bahan alami?,23:59.0
529,Bagaimana penerapa hukum di Indonesia,25:10.0
529,Bagaimana cara membentuk pendidikan karakter?,25:48.0
414,Bagaimana dampak dari omnibus law yang tidak disahkan ? Dan apa itu sebenarnya omnibus law ? Apakah yang mendasari terbentuknya omnibus law ?,40:54.0
414,Jika kalian dapat Memilih menulis Artikel di dalam negeri tanpa banyak uang dan peluang dari topik sama atau Artikel luar negeri dengan yang banyak uang tapi nggak terlalu lancar writing ?,44:28.0
455,Harga robertson pemain Liverpool seharga?,07:22.0
455,Liverpool vs Southampton tanggal 1 February 2020 siapa yang menang?,16:11.0
455,Liverpool vs Southampton tanggal 1 February 2020 siapa saja nama nama pemain yang mencetak goll?,17:52.0
455,Harga seorang M.Salah ketika bermain di Liverpool?,19:23.0
455,Harga tiket pesawat dari Jakarta ke pulau Bali?,20:22.0
455,Wisata apa saja yang terindah di daerah Lombok?,21:19.0
455,Persija Jakarta dana yang dikeluarkan untuk membeli kontrak Marko simic untuk tetap di Persija Jakarta?,27:21.0
455,"Kenapa masih dia?
Saya:karena sampai saat ini saya belum mencintai seseorang sekuat saya mencintai dia.
Kalian?",33:17.0
455,"Kita mencintai seseorang yang mengabaikan kita,
Sedangkan kita mengabaikan seseorang yang sedang mencintai kita bukan kah itu ironis?!",35:51.0
455,Pepatah pernah berkata diatas langit masih ada ~langit~ *LIVERPOOL*,38:09.0
455,Menurut kamu kalo mau mulai bisnis kuliner harus ngapain terlebih dahulu?,39:15.0
483,Apa itu bitcoin ? Dan bagaimana cara memperolehnya ?,43:40.0
483,Apa saja tips menanamakan saham di bursa efek ?,54:14.0
483,apa saja kelebihan hp andorid dan iphone ?,55:06.0
558,Apa penyebab seorang anak sering berbicara bohong? Bagaimana mengatasi hal tersebut agar anak tidak lagi berbicara bohong?,19:23.0
529,Bagaimana cara pemerintah daerah kalian mengatasi kemiskinan,15:50.0
529,Mengapa seseorang bisa kerasukan?,26:30.0
529,Bagaimana sosok pak jokowi menurut kalian?,27:07.0
